"데이터직무별(1)",2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020
"데이터직무별(1)",데이터직무 전체 인력 (명),빅데이터 관련 인력 (명),데이터직무 중 빅데이터 관련 인력 비중 (%),데이터직무 전체 인력 (명),빅데이터 관련 인력 (명),데이터직무 중 빅데이터 관련 인력 비중 (%),데이터직무 전체 인력 (명),빅데이터 관련 인력 (명),데이터직무 중 빅데이터 관련 인력 비중 (%),데이터직무 전체 인력 (명),빅데이터 관련 인력 (명),데이터직무 중 빅데이터 관련 인력 비중 (%)
"전체",77105,6324,8.2,82623,8560,10.4,89058,9572,10.7,101967,9970,9.8
"데이터 아키텍트",5025,-,-,5901,758,12.8,6508,862,13.2,7470,826,11.1
"데이터 개발자",29267,1866,6.4,30022,2798,9.3,31330,3030,9.7,34085,3206,9.4
"데이터 엔지니어",13127,1081,8.2,13731,1317,9.6,14592,1383,9.5,16450,1523,9.3
"데이터 분석가",4792,381,8.0,5820,532,9.1,6571,719,10.9,7555,750,9.9
"데이터베이스 관리자",11851,-,-,12615,868,6.9,12928,1017,7.9,15199,1010,6.6
"데이터 과학자",1283,1283,100.0,1285,661,51.4,1608,722,44.9,2421,736,30.4
"데이터 컨설턴트",4263,1369,32.1,5007,971,19.4,5686,1111,19.5,6979,1238,17.7
"데이터 기획자",7497,344,4.6,8242,655,7.9,9836,728,7.4,11808,682,5.8
